source_id	hgnc_symbol
A1BG	A1BG
NM_130786	A1BG
1	A1BG
ENSG00000121410	A1BG
P04217	A1BG
A1BG-AS1	A1BG-AS1
NCRNA00181	A1BG-AS1
A1BGAS	A1BG-AS1
A1BG-AS	A1BG-AS1
FLJ23569	A1BG-AS1
NR_015380	A1BG-AS1
503538	A1BG-AS1
ENSG00000268895	A1BG-AS1
A1CF	A1CF
ACF	A1CF
ASP	A1CF
ACF64	A1CF
ACF65	A1CF
APOBEC1CF	A1CF
NM_014576	A1CF
29974	A1CF
ENSG00000148584	A1CF
Q9NQ94	A1CF
A2M	A2M
FWP007	A2M
S863-7	A2M
CPAMD5	A2M
NM_000014	A2M
2	A2M
ENSG00000175899	A2M
P01023	A2M
A2M-AS1	A2M-AS1
NR_026971	A2M-AS1
144571	A2M-AS1
ENSG00000245105	A2M-AS1
A2ML1	A2ML1
CPAMD9	A2ML1
FLJ25179	A2ML1
p170	A2ML1
NM_144670	A2ML1
144568	A2ML1
ENSG00000166535	A2ML1
A8K2U0	A2ML1
A2ML1-AS1	A2ML1-AS1
ENSG00000256661	A2ML1-AS1
A2ML1-AS2	A2ML1-AS2
ENSG00000256904	A2ML1-AS2
A3GALT2	A3GALT2
A3GALT2P	A3GALT2
IGBS3S	A3GALT2
IGB3S	A3GALT2
NM_001080438	A3GALT2
127550	A3GALT2
ENSG00000184389	A3GALT2
U3KPV4	A3GALT2
A4GALT	A4GALT
P1	A4GALT
A14GALT	A4GALT
Gb3S	A4GALT
P(k)	A4GALT
NM_017436	A4GALT
53947	A4GALT
ENSG00000128274	A4GALT
Q9NPC4	A4GALT
A4GNT	A4GNT
alpha4GnT	A4GNT
NM_016161	A4GNT
51146	A4GNT
ENSG00000118017	A4GNT
Q9UNA3	A4GNT
AAAS	AAAS
8086	AAAS
ENSG00000094914	AAAS
Q9NRG9	AAAS
AACS	AACS
FLJ12389	AACS
SUR-5	AACS
ACSF1	AACS
NM_023928	AACS
65985	AACS
ENSG00000081760	AACS
Q86V21	AACS
AACSP1	AACSP1
AACSL	AACSP1
NR_024035	AACSP1
729522	AACSP1
ENSG00000250420	AACSP1
AADAC	AADAC
DAC	AADAC
CES5A1	AADAC
NM_001086	AADAC
13	AADAC
ENSG00000114771	AADAC
P22760	AADAC
AADACL2	AADACL2
MGC72001	AADACL2
NM_207365	AADACL2
344752	AADACL2
ENSG00000197953	AADACL2
Q6P093	AADACL2
AADACL2-AS1	AADACL2-AS1
101928142	AADACL2-AS1
ENSG00000242908	AADACL2-AS1
AADACL3	AADACL3
OTTHUMG00000001887	AADACL3
NM_001103170	AADACL3
126767	AADACL3
ENSG00000188984	AADACL3
Q5VUY0	AADACL3
AADACL4	AADACL4
OTTHUMG00000001889	AADACL4
NM_001013630	AADACL4
343066	AADACL4
ENSG00000204518	AADACL4
Q5VUY2	AADACL4
AADACP1	AADACP1
201651	AADACP1
ENSG00000240602	AADACP1
AADAT	AADAT
KATII	AADAT
KAT2	AADAT
KYAT2	AADAT
NM_016228	AADAT
51166	AADAT
ENSG00000109576	AADAT
Q8N5Z0	AADAT
AAGAB	AAGAB
FLJ11506	AAGAB
p34	AAGAB
NM_024666	AAGAB
79719	AAGAB
ENSG00000103591	AAGAB
Q6PD74	AAGAB
AAK1	AAK1
KIAA1048	AAK1
DKFZp686K16132	AAK1
NM_014911	AAK1
22848	AAK1
ENSG00000115977	AAK1
Q2M2I8	AAK1
AAMDC	AAMDC
C11orf67	AAMDC
PTD015	AAMDC
FLJ21035	AAMDC
CK067	AAMDC
NM_024684	AAMDC
28971	AAMDC
ENSG00000087884	AAMDC
Q9H7C9	AAMDC
AAMP	AAMP
NM_001087	AAMP
14	AAMP
ENSG00000127837	AAMP
Q13685	AAMP
AANAT	AANAT
SNAT	AANAT
NM_001088	AANAT
15	AANAT
ENSG00000129673	AANAT
Q16613	AANAT
AAR2	AAR2
C20orf4	AAR2
bA234K24.2	AAR2
NM_015511	AAR2
25980	AAR2
ENSG00000131043	AAR2
Q9Y312	AAR2
AARD	AARD
C8orf85	AARD
LOC441376	AARD
NM_001025357	AARD
441376	AARD
ENSG00000205002	AARD
Q4LEZ3	AARD
AARS1	AARS1
AARS	AARS1
CMT2N	AARS1
AlaRS	AARS1
NM_001605	AARS1
